"Reporting starts","Reporting ends","Campaign name",Age,"Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Website leads","Meta leads",Leads,"Cost per lead (USD)"
2026-04-16,2026-05-15,"LF Different Audience Testing",25-34,inactive,"7-day click or 1-day view",,,1422,1.416315,,20,Daily,69.71,Ongoing,2014,34.612711,26,,2.681154,1.290963,38,1.886792,1.834474,,,,,,
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",25-34,inactive,"7-day click or 1-day view",2,actions:leadgen.other,887,1.325817,24.235,20,Daily,48.47,Ongoing,1176,41.215986,20,,2.4235,1.70068,32,2.721088,1.514688,1,48.47,,2,2,24.235
2026-04-16,2026-05-15,"Traffic Ad",25-34,active,"Multiple attribution settings",561,actions:link_click,12042,2.161352,0.4058467,"Using ad set budget",0,227.68,Ongoing,26027,8.747839,561,,0.405847,2.155454,959,3.684635,0.237414,284,0.80169,,,,
2026-04-16,2026-05-15,"LP Different Audience Testing",25-34,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,1166,1.791595,,60,Daily,63.18,Ongoing,2089,30.244136,41,,1.540976,1.962662,109,5.217808,0.579633,34,1.858235,,,,
2026-04-16,2026-05-15,"LF ABO",25-34,inactive,"7-day click or 1-day view",2,actions:leadgen.other,1682,1.300832,42.135,"Using ad set budget",0,84.27,Ongoing,2188,38.514625,30,,2.809,1.371115,44,2.010969,1.915227,,,,2,2,42.135
2026-04-16,2026-05-15,"LF ABO 3 ADS DIFFRENT AUDEINCE",25-34,inactive,"7-day click or 1-day view",,,441,1.195011,,30,Daily,12.42,Ongoing,527,23.567362,4,,3.105,0.759013,10,1.897533,1.242,,,,,,
2026-04-16,2026-05-15,"LF ABO Detailed",25-34,inactive,"7-day click or 1-day view",,,600,1.241667,,"Using ad set budget",0,24.96,Ongoing,745,33.503356,15,,1.664,2.013423,17,2.281879,1.468235,,,,,,
2026-04-16,2026-05-15,"Lead Forms",25-34,active,"7-day click or 1-day view",,,490,1.132653,,"Using ad set budget",0,13.68,Ongoing,555,24.648649,11,,1.243636,1.981982,12,2.162162,1.14,,,,,,
2026-04-16,2026-05-15,"LF Different Audience Testing",35-44,inactive,"7-day click or 1-day view",,,589,1.614601,,20,Daily,52.45,Ongoing,951,55.152471,6,,8.741667,0.630915,9,0.946372,5.827778,,,,,,
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",35-44,inactive,"7-day click or 1-day view",,,408,1.375,,20,Daily,38.88,Ongoing,561,69.304813,2,,19.44,0.356506,5,0.891266,7.776,,,,,,
2026-04-16,2026-05-15,"Traffic Ad",35-44,active,"Multiple attribution settings",186,actions:link_click,4526,1.893946,0.4388172,"Using ad set budget",0,81.62,Ongoing,8572,9.521699,186,,0.438817,2.169855,288,3.359776,0.283403,73,1.118082,,,,
2026-04-16,2026-05-15,"LP Different Audience Testing",35-44,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,611,1.715221,,60,Daily,35.21,Ongoing,1048,33.597328,12,,2.934167,1.145038,23,2.194656,1.53087,10,3.521,,,,
2026-04-16,2026-05-15,"LF ABO",35-44,inactive,"7-day click or 1-day view",1,actions:leadgen.other,890,1.433708,65.27,"Using ad set budget",0,65.27,Ongoing,1276,51.152038,19,,3.435263,1.489028,30,2.351097,2.175667,,,,1,1,65.27
2026-04-16,2026-05-15,"LF ABO 3 ADS DIFFRENT AUDEINCE",35-44,inactive,"7-day click or 1-day view",1,actions:leadgen.other,268,1.197761,9.47,30,Daily,9.47,Ongoing,321,29.501558,8,,1.18375,2.492212,10,3.115265,0.947,1,9.47,,1,1,9.47
2026-04-16,2026-05-15,"LF ABO Detailed",35-44,inactive,"7-day click or 1-day view",,,401,1.351621,,"Using ad set budget",0,18.19,Ongoing,542,33.560886,7,,2.598571,1.291513,9,1.660517,2.021111,,,,,,
2026-04-16,2026-05-15,"Lead Forms",35-44,active,"7-day click or 1-day view",,,406,1.214286,,"Using ad set budget",0,16.31,Ongoing,493,33.083164,10,,1.631,2.028398,12,2.434077,1.359167,,,,,,
2026-04-16,2026-05-15,"LF Different Audience Testing",45-54,inactive,"7-day click or 1-day view",1,actions:leadgen.other,471,1.653928,62.79,20,Daily,62.79,Ongoing,779,80.603338,8,,7.84875,1.026958,12,1.540436,5.2325,1,62.79,,1,1,62.79
