"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-04-16,2026-05-15,"LF Different Audience Testing",Facebook,"Facebook Reels",In-app,inactive,"7-day click or 1-day view",5,actions:leadgen.other,1597,1.797746,60.23151828,20,Daily,301.157591,Ongoing,2871,104.896409,28,,10.755628,0.97527,53,1.846047,5.682219,2,150.578796
2026-04-16,2026-05-15,"LF Different Audience Testing",Facebook,"Facebook Stories",In-app,inactive,"7-day click or 1-day view",3,actions:leadgen.other,353,1.356941,49.43073316,20,Daily,148.292199,Ongoing,479,309.587055,39,,3.802364,8.141962,46,9.60334,3.223743,1,148.292199
2026-04-16,2026-05-15,"LF Different Audience Testing",Facebook,Feed,In-app,inactive,"7-day click or 1-day view",1,actions:leadgen.other,645,1.564341,111.98382302,20,Daily,111.983823,Ongoing,1009,110.984958,30,,3.732794,2.973241,44,4.360753,2.545087,1,111.983823
2026-04-16,2026-05-15,"LF Different Audience Testing",Instagram,Feed,In-app,inactive,"7-day click or 1-day view",,,150,1.273333,,20,Daily,16.421918,Ongoing,191,85.97863,1,,16.421918,0.52356,1,0.52356,16.421918,,
2026-04-16,2026-05-15,"LF Different Audience Testing",Instagram,"Explore home",In-app,inactive,"7-day click or 1-day view",,,5,1,,20,Daily,0.009899,Ongoing,5,1.979737,,,,,0,0,0,,
2026-04-16,2026-05-15,"LF Different Audience Testing",Instagram,"Instagram Reels",In-app,inactive,"7-day click or 1-day view",,,356,1.202247,,20,Daily,27.260978,Ongoing,428,63.693875,,,,,2,0.46729,13.630489,,
2026-04-16,2026-05-15,"LF Different Audience Testing",Instagram,"Instagram Stories",In-app,inactive,"7-day click or 1-day view",,,1543,1.255347,,20,Daily,67.063591,Ongoing,1937,34.622401,22,,3.048345,1.135777,27,1.393908,2.483837,,
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",Facebook,"Facebook Reels",In-app,inactive,"7-day click or 1-day view",2,actions:leadgen.other,797,1.49059,72.77707911,20,Daily,145.554158,Ongoing,1188,122.520335,15,,9.703611,1.262626,32,2.693603,4.548567,2,72.777079
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",Facebook,"Facebook Stories",In-app,inactive,"7-day click or 1-day view",1,actions:leadgen.other,216,1.226852,88.71540868,20,Daily,88.715409,Ongoing,265,334.775127,19,,4.669232,7.169811,23,8.679245,3.857192,,
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",Facebook,Feed,In-app,inactive,"7-day click or 1-day view",2,actions:leadgen.other,381,1.501312,37.51775329,20,Daily,75.035507,Ongoing,572,131.180956,17,,4.413853,2.972028,28,4.895105,2.67984,1,75.035507
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",Instagram,Feed,In-app,inactive,"7-day click or 1-day view",1,actions:leadgen.other,86,1.081395,16.5651178,20,Daily,16.565118,Ongoing,93,178.119546,1,,16.565118,1.075269,2,2.150538,8.282559,1,16.565118
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",Instagram,"Explore home",In-app,inactive,"7-day click or 1-day view",,,5,1,,20,Daily,0.009949,Ongoing,5,1.989804,,,,,0,0,0,,
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",Instagram,"Instagram Reels",In-app,inactive,"7-day click or 1-day view",,,243,1.152263,,20,Daily,28.066185,Ongoing,280,100.236373,2,,14.033092,0.714286,7,2.5,4.009455,,
2026-04-16,2026-05-15,"LF CBO 3 Ads Detailed",Instagram,"Instagram Stories",In-app,inactive,"7-day click or 1-day view",,,990,1.220202,,20,Daily,63.683675,Ongoing,1208,52.718274,19,,3.351772,1.572848,24,1.986755,2.653486,,
2026-04-16,2026-05-15,"Traffic Ad",Facebook,"Facebook Notifications",In-app,active,"Multiple attribution settings",1,actions:link_click,47,1.234043,0.44005396,"Using ad set budget",0,0.440054,Ongoing,58,7.587137,1,,0.440054,1.724138,1,1.724138,0.440054,1,0.440054
2026-04-16,2026-05-15,"Traffic Ad",Facebook,"Facebook profile feed",In-app,active,"Multiple attribution settings",1,actions:link_click,47,1.085106,0.21002575,"Using ad set budget",0,0.210026,Ongoing,51,4.118152,1,,0.210026,1.960784,1,1.960784,0.210026,1,0.210026
2026-04-16,2026-05-15,"Traffic Ad",Facebook,"Facebook Reels",In-app,active,"Multiple attribution settings",43,actions:link_click,2270,1.736564,1.09083143,"Using ad set budget",0,46.905752,Ongoing,3942,11.898973,43,,1.090831,1.090817,161,4.084221,0.29134,,
2026-04-16,2026-05-15,"Traffic Ad",Facebook,"Ads on Facebook Reels",In-app,active,"Multiple attribution settings",39,actions:link_click,4911,1.192629,0.27849569,"Using ad set budget",0,10.861332,Ongoing,5857,1.854419,39,,0.278496,0.66587,39,0.66587,0.278496,36,0.301704
2026-04-16,2026-05-15,"Traffic Ad",Facebook,"Facebook Stories",In-app,active,"Multiple attribution settings",20,actions:link_click,470,1.493617,0.5325653,"Using ad set budget",0,10.651306,Ongoing,702,15.172801,20,,0.532565,2.849003,33,4.700855,0.322767,10,1.065131
2026-04-16,2026-05-15,"Traffic Ad",Facebook,Feed,Desktop,active,"Multiple attribution settings",,,1,4,,"Using ad set budget",0,0.030004,Ongoing,4,7.50092,,,,,1,25,0.030004,,
2026-04-16,2026-05-15,"Traffic Ad",Facebook,Feed,In-app,active,"Multiple attribution settings",279,actions:link_click,5522,2.012858,0.34613563,"Using ad set budget",0,96.571841,Ongoing,11115,8.688425,279,,0.346136,2.510121,485,4.363473,0.199117,106,0.911055
2026-04-16,2026-05-15,"Traffic Ad",Facebook,Feed,"Mobile web",active,"Multiple attribution settings",,,7,1.714286,,"Using ad set budget",0,0.060007,Ongoing,12,5.000613,,,,,1,8.333333,0.060007,,
2026-04-16,2026-05-15,"Traffic Ad",Facebook,"In-stream reels",In-app,active,"Multiple attribution settings",23,actions:link_click,1242,1.082126,0.16915118,"Using ad set budget",0,3.890477,Ongoing,1344,2.8947,23,,0.169151,1.71131,24,1.785714,0.162103,19,0.204762
2026-04-16,2026-05-15,"Traffic Ad",Facebook,Marketplace,Desktop,active,"Multiple attribution settings",,,1,1,,"Using ad set budget",0,0.010001,Ongoing,1,10.001226,,,,,0,0,0,,
2026-04-16,2026-05-15,"Traffic Ad",Facebook,Marketplace,In-app,active,"Multiple attribution settings",11,actions:link_click,317,1.977918,0.27730673,"Using ad set budget",0,3.050374,Ongoing,627,4.86503,11,,0.277307,1.754386,11,1.754386,0.277307,9,0.33893
2026-04-16,2026-05-15,"Traffic Ad",Facebook,"Search results",In-app,active,"Multiple attribution settings",6,actions:link_click,226,1.376106,0.16168649,"Using ad set budget",0,0.970119,Ongoing,311,3.119354,6,,0.161686,1.92926,6,1.92926,0.161686,4,0.24253
2026-04-16,2026-05-15,"Traffic Ad",Instagram,Feed,In-app,active,"Multiple attribution settings",254,actions:link_click,6009,1.75753,0.44194395,"Using ad set budget",0,112.253764,Ongoing,10561,10.629085,254,,0.441944,2.405075,393,3.721239,0.285633,174,0.645137
2026-04-16,2026-05-15,"Traffic Ad",Instagram,"Explore home",In-app,active,"Multiple attribution settings",1,actions:link_click,40,1.2,0.1900233,"Using ad set budget",0,0.190023,Ongoing,48,3.958819,1,,0.190023,2.083333,2,4.166667,0.095012,,
2026-04-16,2026-05-15,"Traffic Ad",Instagram,"Instagram Reels",In-app,active,"Multiple attribution settings",134,actions:link_click,4132,1.701355,0.56245703,"Using ad set budget",0,75.369242,Ongoing,7030,10.721087,134,,0.562457,1.906117,269,3.826458,0.280183,37,2.037007
2026-04-16,2026-05-15,"Traffic Ad",Instagram,"Instagram Stories",In-app,active,"Multiple attribution settings",139,actions:link_click,3087,1.557499,0.33284657,"Using ad set budget",0,46.265673,Ongoing,4808,9.622644,139,,0.332847,2.891015,157,3.265391,0.294686,36,1.285158
2026-04-16,2026-05-15,"Traffic Ad",Uncategorized,Uncategorized,Uncategorized,active,"Multiple attribution settings",,,13,1.076923,,"Using ad set budget",0,0.040005,Ongoing,14,2.857493,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Business Explore",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,2,1,,60,Daily,0.110034,Ongoing,2,55.016858,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Facebook Notifications",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,2,1,,60,Daily,0.090028,Ongoing,2,45.013793,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Facebook profile feed",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,10,1.1,,60,Daily,0.560172,Ongoing,11,50.924695,1,,0.560172,9.090909,1,9.090909,0.560172,1,0.560172
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Facebook Reels",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,840,1.686905,,60,Daily,59.718299,Ongoing,1417,42.144177,13,,4.593715,0.917431,31,2.187721,1.926397,12,4.976525
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Facebook Reels","Mobile web",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,15,1.6,,60,Daily,1.830561,Ongoing,24,76.273372,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Ads on Facebook Reels",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,29,1.068966,,60,Daily,0.100031,Ongoing,31,3.226795,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Facebook Stories",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,91,1.164835,,60,Daily,13.964279,Ongoing,106,131.73848,5,,2.792856,4.716981,6,5.660377,2.32738,3,4.65476
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,Feed,Desktop,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,43,1.372093,,60,Daily,2.410739,Ongoing,59,40.859978,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,Feed,In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,829,1.595899,,60,Daily,65.430049,Ongoing,1323,49.455819,29,,2.256209,2.191988,58,4.383976,1.128104,23,2.844785
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,Feed,"Mobile web",inactive,"7-day click, 1-day view, or 1-day engaged-view",,,7,2.428571,,60,Daily,0.290089,Ongoing,17,17.064052,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"In-stream reels",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,251,1.219124,,60,Daily,15.564769,Ongoing,306,50.865259,9,,1.729419,2.941176,10,3.267974,1.556477,4,3.891192
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,Marketplace,Desktop,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,22,1.545455,,60,Daily,1.020313,Ongoing,34,30.009195,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,Marketplace,In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,183,1.704918,,60,Daily,6.742066,Ongoing,312,21.609186,3,,2.247355,0.961538,3,0.961538,2.247355,3,2.247355
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Search results",Desktop,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,5,1.2,,60,Daily,0.26008,Ongoing,6,43.346616,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Facebook,"Search results",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,32,1.3125,,60,Daily,3.020926,Ongoing,42,71.926802,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Instagram,Feed,Desktop,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,1,1,,60,Daily,0.010003,Ongoing,1,10.003065,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Instagram,Feed,In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_lead,314,1.382166,25.22773027,60,Daily,25.22773,Ongoing,434,58.128411,19,,1.327775,4.37788,25,5.760369,1.009109,15,1.681849
2026-04-16,2026-05-15,"LP Different Audience Testing",Instagram,"Explore home",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,8,1.25,,60,Daily,0.110034,Ongoing,10,11.003372,,,,,0,0,0,,
2026-04-16,2026-05-15,"LP Different Audience Testing",Instagram,"Instagram Reels",In-app,inactive,"7-day click, 1-day view, or 1-day engaged-view",,,907,1.455347,,60,Daily,44.263563,Ongoing,1320,33.533002,8,,5.532945,0.606061,41,3.106061,1.079599,10,4.426356
